
"Don t touch this book before reading the main course books...
the book have some important notes to read before solving question so that you will remember the main points before solving questionss....
A bad book atlast....","25 May 2014","quite good book...","1","SHUBHAM KUMAR","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
" 
Best book for JEE main. help in advance also.
The book is very good for jee main preparation. Theory is given in brief. Best way to have a revision of old lessons but useful to set them on my mind in little time 
Pros:
1) problems at the end of every day makes the lesson good and help to judge how the preparation is.
2) The problems are very related to JEE main syllabus and explanation is good enough. 
Cons:
Not a good choice for JEE advance but it can help for advance level also. 
A good piece from the house of Arihant. ","06 Dec 2013","Very useful for main. good for advance also.","5","Snehasish Das","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"except for the question coverage from old mains papers and NCERT Exemplar the rest of the book is useless.","12 May 2014","USELESS","1","srikrishna vanam","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"First of all, reviewing the book from Arihant. This book is good for practice. 
It has got tooo many mistakes in it(Arihant is famous for mistakes). 
First go through a chapter s preview that is available on arihant s website.
Important chapters have more no. of questions for practice. I bought this book mainly for practice purpose, i.e just for question solving, and it does fulfill my needs. I got through many of the mistakes till now and students with decent knowledge will realize the 
mistakes.","06 Mar 2014","Partly Satisfied...","3","Sanketh Sampara","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"this is the ultimate book for jee aspirants if u have not bought it buy as quickly as posssible
i myself have personally used this book and has been benefitted and flipkart is ofeering it at a very low price so make sure u r the first to buy this book. with regards and best wishes for jee aspirants.........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................","09 Jan 2014","ultimate success","5","","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"This book is awesome.It tells all about what you want to study and what not on the basis of previous 5 years. and it also tells what percentile comes from 11th an 12th and topic wise questions which came in previous years. Only one regret and that is it has a limited theory only for them those who already know every thing. But again its a crash course. So i say go for it.................","30 Mar 2015","Awesome Book>>>>>> Go For It.......","4","Kalpit Singh","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"IT IS QUITE USEFUL. I GOT IT QUICKLY FOR MY QUICK NEED. I RECEIVED THE PACK IN TACT TO MY RESIDENTIAL ADDRESS . THANKING YOU","26 Jan 2015","JEE MAIN PHYSICS 40 DAYS","4","","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"This book is awesome. It covers the whole syllabus of JEE MAIN, Each topic is divided into a chapter and the chapter contains around 50 - 60 questions which is to be solved in 1 day. The exercises also contain previous year questions from JEE MAIN & AIEEE with proper solutions. If you solve the whole book, you will gain a lot of confidence for JEE MAIN. It helped me a lot in my preparation and with its help I was able to crack JEE MAIN. I started studying from this book in January and completed it in mid Feb. Overall, It is very nice book for JEE MAIN.","01 Jun 2014","Best book for revision of JEE MAIN","5","Rishabh Kumar","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"
 I brought this book for JEE main It has average of 60 questions for each chapter And also the questions of jee main which came previous years 
This book is well for prepartion but if u r preparing for advanced also the opot for some good book such as BL Sharma (arihant) ... ","17 May 2014","Not too many Questions","4","Siddharth Verma","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"he book was really helpful .... I cleared the JEE mains by self study frm this book... really Awesome","03 May 2014","Awesome","5","Karthik Balaje","http://www.flipkart.com/jee-main-physics-just-40-days-english-4th/product-reviews/itmdpgq8fgjwsun8?pid=9789351410560&srno=b_21&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
