"name"|"cost"|"discount"|"originalPrice"|"ratings"|"noReviews"|"votes"|"Product Weight"|"Age Group"|"Type"|"Ideal For"|"Number of Contents"|"Size"|"Powered by"|" "|"Product Depth"|"Product Width"|"Country of Manufacture"|"Filling Material"|"Product Height"|"Rechargeable"|"Battery Type"|"Character"|"Series"|"Washable"|"Sound Support"|"Height"|"Width"|"External Material"|" The design of the giraffe may slightly vary from what is shown in the image "|"Depth"|" Ribbons may vary "|" Color may slightly vary. "|" Color and Style of the Bow may vary "|" Exact color of product may vary from the color in the image "|" Customer may get any one of the two product based on availability "|" The bow color of the delivered doll may vary from what is shown in the image "|" The ribbon color and the design may vary from what is shown in the image. "|"Brand"|"Machine Washable"|"With Pillow Cover"|"Ideal Usage"|"Model Name"|"Model ID"|"Color"|"Sales Package"|" The color of bow of the delivered product may vary from what is shown in the image "|" The design of the delivered product may slightly vary from what is shown in the image "|" The color of the product displayed may differ from the actual product, Due to scarcity of this product, color of muffler may vary. "|" Color may slightly vary "|""|ImageURL"
Dimpy Stuff Bear - 21.65 inch|1199|20%|1499|4.3|||950 g|3 - 15 Years|Teddy Bears|Boys, Girls|1|21.65 inch|Non Battery|Soft Fabric|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Surbhi Monkey 42 Cm Sitting - 16.8 inch|840|30%|1200||||520 g|2 - 99 Years|Pets & Animals|N/A|N/A|16.8 inch|N/A|N/A|6 inch|11.2 inch|India|Polyester Fiber|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Surbhi Teddy with Cap - 13.6 inch|900|18%|1100||||800 g|3 - 99 Years|Teddy Bears|N/A|N/A|13.6 inch|N/A|N/A|6 inch|26 inch|India|PLOYERSTER FIBER|16.9 inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Lamaze Play & Grow Rusty the Robot Toy|474|50%|949|5||1|114 g|2 - 6 Years|Cartoon Characters|Boys, Girls|N/A|N/A|N/A|Two Sides of Play, Features Crinkle, Ribbons, Clanking Rings, Busy Beads and Discovery Mirror, Attaches to Play Mats, Diaper Bag and Strollers|2.24 inch|5.47 inch|China|N/A|10.51 inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Surbhi Teddy Bear - 10 inch|770|30%|1100||||575 g|3 - 99 Years|Teddy Bears|N/A|N/A|10 inch|N/A|N/A|6 inch|32 inch|India|PLOYERSTER FIBER|10 inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Fisher-Price Laugh and Learn Singin Storytime Puppy - 16 inch|3999||||||1080 g|0 - 3 Years|Interactive Soft Toys|Boys, Girls|N/A|16 inch|Battery|1 Puppy, Batteries not Included|8 inch|12.12 inch|N/A|N/A|16 inch|No|3 C Batteries|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Surbhi Giraffe - 11.8 inch|485|30%|695||||220 g|0 - 25 Years|Pets & Animals|N/A|N/A|11.8 inch|N/A|N/A|5.9 inch|7.9 inch|India|Polyester|N/A|N/A|N/A|Pets|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
VTech Day & Night Cuddle Bunny - 23.5 cm|1999||||||890 g|1 - 100 Years|Interactive Soft Toys|N/A|N/A|23.5 cm|N/A|N/A|10.5 cm|18 cm|China|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Surbhi Elephant - 13.7 Inch|480|31%|699||||250 g|0 - 25 Years|Pets & Animals|N/A|N/A|13.7 Inch|N/A|N/A|5.9 inch|7.9 inch|India|Polyester|N/A|N/A|N/A|Pets|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
NICI Bear - 13.77 inch|1095|||4.2|4|10|140 g|0 - 12 Years|Teddy Bears|Girls, Boys|N/A|13.77 inch|Non Battery|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
