"name"|"cost"|"discount"|"originalPrice"|"ratings"|"noReviews"|"votes"|"Product Weight"|"Product Depth"|"Product Width"|"Product Height"|"Country of Manufacture"|"Age Group"|"Type"|"Series"|"Filling Material"|"Size"|"Washable"|"Ideal For"|"Number of Contents"|"Character"|"Rechargeable"|"Powered by"|"Battery Type"|" "|" Hamleys is available online exclusively on Flipkart. "|"Height"|"Width"|"Depth"|"External Material"|"Machine Washable"|"Brand"|"With Pillow Cover"|"Ideal Usage"|"Model Name"|"Model ID"|"Color"|"Sales Package"|" For Safety Sake, Remove All Tags and Plastic Loops Before Giving this Item to the Child "|"Weight"|"Sound Support"|" The color of the delivered product may vary from what is shown in the image "|" Customer may get any one of the two product based on availability "|" Color may slightly vary. "|" The design of the giraffe may slightly vary from what is shown in the image "|" Ribbons may vary "|" Color and Style of the Bow may vary "|" Exact color of product may vary from the color in the image "|" The bow color of the delivered doll may vary from what is shown in the image "|" The ribbon color and the design may vary from what is shown in the image. "|" The color of bow of the delivered product may vary from what is shown in the image "|" The design of the delivered product may slightly vary from what is shown in the image "|" The color of the product displayed may differ from the actual product, Due to scarcity of this product, color of muffler may vary. "|" Color may slightly vary "|" Color may vary. "|" Product displayed on the website may slightly vary. "|" Color of the ball might vary "|" Colour of the Pot might Vary "|""|ImageURL"
Tickles Mufler Teddy - 10 inch|299|18%|369|1.8|3|5|200 g|4.7 inch|5.9 inch|9.8 inch|India|3 - 6 Years|Teddy Bears|Animal Shop|Fiber|Medium, 10 inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Disney Laughing Pluto - 9 inch|959|40%|1599||||450 g|N/A|N/A|N/A|China|3 - 10 Years|Cartoon Characters|Mickey Mouse and Friends|N/A|9 inch|No|Girls, Boys|1|Pluto|No|Battery|2 AA Batteries|EN71 and EN62115 Approved|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Fullmoon Teddy Bear - 21 inch|549|72%|1999|3.8|||800 g|8 inch|12 inch|N/A|China|5 - 12 Years|Teddy Bears|N/A|N/A|21 inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Tickles Mother Teddy with Kid - 15.5 inch|536|45%|990|3.5||2|400 g|8 inch|8.5 inch|14.9 inch|India|1 - 10 Years|Teddy Bears|Animal Shop|Fiber|Medium, 15.5 inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Tickles Raja Teddy - 10 inch|284|38%|465|3.5|||400 g|5 inch|6 inch|N/A|India|3 - 15 Years|Teddy Bears|Animal Shop|Fiber|Medium, 10 inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Hamleys Poodle - 9 inch|1899||||||N/A|N/A|9 inch|3 - 8 Years|N/A|Pets & Animals|No|N/A|N/A|No|Boys, Girls|9 inch|N/A|N/A|Battery|2 AA Batteries|1 Electronic Soft Toy, Batteries not Included|N/A|9.75 inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Archies Pink Furry Teddy - 12 inch|799||||||350 g|4 inch|6 inch|N/A|China|2 - 16 Years|Teddy Bears|N/A|N/A|12 inch|N/A|N/A|N/A|Teddy Bear|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Soft Buddies Loop Playtoy - Monkey - 11 inch|314|10%|349||||160 g|11 inch|4 inch|N/A|India|3 - 16 Years|Cushions & Pillows|N/A|100% Polyester Staple Fibre|11 inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Tickles Peki Sleeping Dog - 15 inch|695|25%|932|4|||600 g|8 inch|8.5 inch|14.5 inch|India|1 - 6 Years|Pets & Animals|Animal Shop|Fiber|Big, 15 inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
MFT Pug Dog M - 12 Inch|245|18%|300||||400 g|7 inch|5 inch|N/A|India|3 - 10 Years|Pets & Animals|N/A|N/A|12 Inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
