name|Price|Raiting|Votes|5|3|Pointer Device|Web Camera|Included Software|HDD Capacity|Keyboard|Brand|Audio I/O Channels|Sales Package|Ideal For|RAID Configurations|
[]|[]|[]|[]|[]|['Lenovo G50-70 Notebook (4th Gen Ci3/ 4GB/ 500GB/ Free DOS) (59-422412)']|
[]|['9']|[]|['4']|['4.3']|['Lenovo G50-70 Notebook (4th Gen Ci3/ 4GB/ 500GB/ Win8.1/ 2GB Graph) (59-422406)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['4']|[]|['0']|['3.5']|['Lenovo Ideapad Z Series Intel Core i5  -  15.6 inch, 1 TB HDD, 8 GB DDR3, Windows 8 Laptop']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['10']|['Rs. 36,990                ']|['0']|['4.5']|['Lenovo Ideapad G50 (59-422410) Intel Core i3  -  15.6 inch, 1 TB HDD, 8 GB DDR3, Windows 8 Laptop']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['155']|[]|['73']|['4']|['HP 15-r022TX Notebook (4th Gen Ci5/ 8GB/ 1TB/ Free DOS/ 2GB Graph) (J6M27PA)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['185']|['Rs. 29,490                ']|['79']|['3.9']|['Dell Vostro 14 V3446 Notebook (4th Gen Ci3/ 4GB/ 500GB/ Ubuntu/ 2 GB Graph)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['88']|[]|['38']|['4']|['HP 15-r014TX Notebook (4th Gen Ci5/ 4GB/ 1TB/ Win8.1/ 2GB Graph) (J2C54PA)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['70']|['Rs. 27,640                ']|['38']|['4']|['HP Compaq 15-s005TX Notebook (4th Gen Ci3/ 4GB/ 500GB/ Free DOS/ 2GB Graph) (J8C09PA)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['100']|[]|['45']|['4.6']|['Apple MD760HN/B MacBook Air (Ci5/ 4GB/ 128GB Flash/ Mac OS X Mavericks)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['24']|['Rs. 34,390                ']|['8']|['3.8']|['Dell Vostro 14 V3446 Notebook (4th Gen Ci3/ 4GB/ 500GB/ Windows 8.1/ 2 GB Graph)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['87']|[]|['34']|['3.9']|['Lenovo Flex 2-14D Notebook (APU Quad Core A6/ 4GB/ 500GB 8GB SSD/ Win8.1) (59-427873)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['56']|['Rs. 43,499                ']|['24']|['4.2']|['Dell Vostro 14 V3446 Notebook (4th Gen Ci5/ 4GB/ 500GB/ Windows 8.1/ 2 GB Graph)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['48']|['Rs. 33,890                ']|['18']|['3.1']|['Dell Inspiron 15 3542 Notebook (4th Gen Ci3/ 4GB/ 500GB/ Win8.1)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['45']|['Rs. 28,490                ']|['18']|['4.2']|['HP Compaq 15-s009TU Notebook (4th Gen Ci3/ 4GB/ 500GB/ Window 8.1) (J8C08PA)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['46']|['Rs. 33,310                ']|['25']|['4.2']|['HP 15-r007TU Notebook (4th Gen Ci3/ 4GB/ 500GB/ Win8.1) (G8D27PA)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['60']|['Rs. 30,190                ']|['23']|['3.5']|['Lenovo B50-70 Notebook (4th Gen Ci3/ 4GB/ 1TB/ Free DOS/ 1GB Graph) (59-427748)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['64']|['Rs. 37,990                ']|['33']|['3.9']|['Dell Vostro 14 V3446 Notebook (4th Gen Ci5/ 4GB/ 500GB/ Ubuntu/ 2 GB Graph)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['57']|['Rs. 35,590                ']|['30']|['3.8']|['HP (i5/ 4GB/ 1TB/ DOS)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['40']|['Rs. 31,990                ']|['19']|['3.8']|['HP Compaq 15-s006TU Notebook (4th Gen Ci5/ 4GB/ 500GB/ Free DOS) (J8B65PA)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['54']|['Rs. 29,490                ']|['26']|['3.6']|['Asus X551CA-SX014H Laptop (3rd Gen Ci3/ 4GB/ 500GB/ Win8)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['26']|['Rs. 21,010                ']|['11']|['3.5']|['Lenovo B4030 Notebook (4th Gen CDC/ 2GB/ 500GB/ Win8.1) (59-425891)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['25']|['Rs. 20,642                ']|['13']|['2.8']|['Lenovo IdeaPad A10 (59-388639) Slatebook (Quad Core A9/ 1GB/ 16GB eMMC/ Android 4.2/ Touch)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['52']|['Rs. 34,299                ']|['26']|['4.1']|['HP 15-g002AX Notebook (APU Quad Core A8/ 4GB/ 1TB/ Win8.1/ 2 GB Graph) (G8D84PA)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['36']|['Rs. 18,849                ']|['15']|['3.7']|['Asus X551CA-SX021D Laptop (3rd Gen CDC/ 2GB/ 500GB/ DOS)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
