"Listing","cost","date","blank","amenities","Address","Bedrooms","Bathrooms","Balconies","Furnished","Possession Status","Floor Number","Total Floors","Units on the Floor ","Carpet/Builtup Area ","Additional Rooms ","Facing ","Overlooking ","Age of Construction ","Transaction Type ","Type of Ownership ","Units Available ","Plot Area ","Possession By",
3 BHK, 700 Sq-ft Builder Floor Apartment For Sale","26.0Lac","Dec2714","ROWaterSystemVaastuCompliantIntercomFacilityReservedParkingWasteDisposalParkSecurityWaterStorageLiftPowerBackUpRainWaterHarvesting","uttam nagar, New Delhi, Uttam Nagar, New Delhi - West - 110059","3","2","1","Semi-Furnished","Ready to Move","1 ","4 ","2 ","","","","","Puja Room","East ","Main Road ","New Construction","N/A","N/A"
1 BHK, 550 Sq-ft Flat For Sale","75.0Lac(Negotiable)","Dec2714","ROWaterSystemVaastuCompliantPipedGasAirConditionedIntercomFacilityMaintenanceStaffReservedParkingWasteDisposalParkSecurityLaundryServiceWaterStoragePowerBackUpRainWaterHarvestingVisitorParking","delhi police apartment plot no-1 delhi, mayur vihar -1, New Delhi - East - 110091","1","1","2","Furnished","Ready to Move","2 ","3 ","2 ","","","","","","","","Store","","N/A"
2 BHK, 975 Sq-ft Flat For Sale","28.27Lac","Dec2714","ROWaterSystemInternet/Wi-FiConnectivityPrivateTerrace/GardenVaastuCompliantPipedGasAirConditionedIntercomFacilityMaintenanceStaffWasteDisposalJoggingandStrollingTrackBanquetHallWaterStorageDTHTelevisionFacilityConferenceRoomService/GoodsLiftBar/LoungeVisitorParkingCafeteria/FoodCourtReservedParkingParkOutdoorTennisCourtsSecurityLaundryServiceLiftPowerBackUpClubHouseRainWaterHarvestingGymnasiumSwimmingPool","Dwarka Sector 21, New Delhi - Dwarka","2","2","4","Furnished","Under Construction","5 ","15 ","N/A","N/A","N/A","North - East ","Garden/Park , Pool , Main Road ","N/A","New Property","Freehold","N/A","N/A","Jul, 19"
3 BHK, 1100 Sq-ft Builder Floor Apartment For Sale","1.30Crore","Dec2614","ROWaterSystemInternet/Wi-FiConnectivityPrivateTerrace/GardenPipedGasAirConditionedIntercomFacilityMaintenanceStaffWasteDisposalJoggingandStrollingTrackWaterStorageDTHTelevisionFacilityConferenceRoomVisitorParkingReservedParkingParkOutdoorTennisCourtsSecurityLaundryServicePowerBackUpRainWaterHarvesting","52,Ashiana Apartments,Pitampura,New Delhi., Pitampura, New Delhi - North - 110034","3","3","N/A","Furnished","Ready to Move","1 ","3 ","2 ","N/A","","","","Servant Room","South - East ","Garden/Park , Main Road ","Above 20 years","","N/A"
4 BHK, 1700 Sq-ft Builder Floor Apartment For Sale","1.70Crore","Dec2614","PrivateTerrace/GardenPipedGasParkSecurityWaterStorageVisitorParking","Shiva Enclave,Paschim Vihar,New Delhi, Shiva Enclave, Paschim Vihar, New Delhi - West - 110063","4","3","N/A","Unfurnished","Ready to Move","2 ","2 ","1 ","","","N/A","","","Servant Room","Garden/Park ","New Construction","N/A","N/A"
3 BHK, 1600 Sq-ft Flat For Sale","1.20Crore","Dec2614","VaastuCompliantPipedGasIntercomFacilityMaintenanceStaffReservedParkingWasteDisposalParkSecurityLiftPowerBackUpService/GoodsLiftRainWaterHarvestingVisitorParking","sector-12 park view apartment dwarka new delhi, Dwarka Sector 12, New Delhi - Dwarka - 110075","3","2","3","Semi-Furnished","Ready to Move","3 ","10 ","3 ","","N/A","","","","North - East ","Main Road ","Less than 5 years","N/A","N/A"
3 BHK, 850 Sq-ft Builder Floor Apartment For Sale","54.0Lac(Negotiable)","Dec2614","VaastuCompliantIntercomFacilityMaintenanceStaffWasteDisposalBanquetHallWaterStorageDTHTelevisionFacilityConferenceRoomService/GoodsLiftBar/LoungeVisitorParkingCafeteria/FoodCourtReservedParkingParkSecurityLaundryServiceLiftPowerBackUpClubHouseRainWaterHarvestingGymnasium","Uttam Nagar, New Delhi, Delhi-NCR., Uttam Nagar, New Delhi - West - 110059","3","2","N/A","Furnished","Ready to Move","1 ","4 ","4 ","N/A","N/A","North - East ","Main Road ","New Construction","New Property","Freehold","2","N/A","N/A"
3 BHK, 1800 Sq-ft Flat For Sale","1.57Crore","Dec2614","ROWaterSystemVaastuCompliantPipedGasIntercomFacilityMaintenanceStaffWasteDisposalJoggingandStrollingTrackWaterStorageDTHTelevisionFacilityConferenceRoomService/GoodsLiftVisitorParkingReservedParkingParkSecurityLaundryServiceLiftPowerBackUpRainWaterHarvesting","Classic Apartments Sector-22 Dwarka, Dwarka Sector 22, New Delhi - Dwarka - 110078","3","3","4","Unfurnished","Ready to Move","6 ","10 ","4 ","","","","","Store","East ","Main Road ","5 to 10 years","N/A","N/A"
3 BHK, 80 Sq-yrd Builder Floor Apartment For Sale","26.0Lac(Negotiable)","Dec2614","Internet/Wi-FiConnectivityPrivateTerrace/GardenVaastuCompliantIntercomFacilityMaintenanceStaffWasteDisposalSecurityLaundryServiceWaterStorageDTHTelevisionFacilityService/GoodsLiftVisitorParking","uttam nagar, Uttam Nagar, New Delhi - West - 110059","3","2","1","Semi-Furnished","Ready to Move","1 ","4 ","2 ","","","","","","","","Puja Room","","N/A"
3 BHK, 1650 Sq-ft Flat For Sale","1.20Crore(Negotiable)","Dec2614","VaastuCompliantPipedGasMaintenanceStaffWasteDisposalJoggingandStrollingTrackWaterStorageService/GoodsLiftVisitorParkingReservedParkingParkSecurityOutdoorTennisCourtsLiftPowerBackUpRainWaterHarvesting","Sector-12, Dwarka, Dwarka Sector 12, New Delhi - Dwarka - 110075","3","2","3","Semi-Furnished","Ready to Move","10 ","10 ","3 ","N/A","N/A","North - East ","Garden/Park , Main Road ","New Construction","Resale","Freehold","1","N/A","N/A"
2 BHK, 1050 Sq-ft Flat For Sale","38.0Lac","Dec2614","ROWaterSystemInternet/Wi-FiConnectivityPrivateTerrace/GardenVaastuCompliantPipedGasAirConditionedIntercomFacilityMaintenanceStaffWasteDisposalJoggingandStrollingTrackBanquetHallWaterStorageDTHTelevisionFacilityConferenceRoomService/GoodsLiftBar/LoungeVisitorParkingCafeteria/FoodCourtReservedParkingParkOutdoorTennisCourtsSecurityLaundryServiceLiftPowerBackUpClubHouseGymnasiumSwimmingPool","L Zone, Dwarka Sector 21, New Delhi - Dwarka - 110077","2","2","2","Semi-Furnished","Under Construction","7 ","15 ","7 ","N/A","N/A","North - East ","Garden/Park , Pool , Main Road ","N/A","New Property","Freehold","1","N/A","Dec, 18"
